"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"595","1991","""La Ballade Nord-Irlandaise""","Renaud","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"596","1989","""Belfast Child""","Simple Minds","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"597","1995","""Belfast""","Elton John","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"598","1998","""Blood Stained Emerald""","Day of the Sword","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"599","1979","""Bloody Sunday""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"600","1994","""Bomb""","Bush","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"601","1986","""Corridor of Cells""","Test Dept","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"602","1982","""Damned to Be Free""","Bad Religion","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"603","2002","""Drunken Lullabies""","Flogging Molly","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"604","1991","""Each Dollar A Bullet""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"605","1989","""Easter""","Marillion","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"606","1979","""Ether""","Gang of Four","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"607","1980","""Fly the Flag""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"608","1983","""Forgotten Sons""","Marillion","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"609","1967","""Four Green Fields""","Tommy Makem","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"610","1990","""Fuck Religion""","The Exploited","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"611","1989","""Get Out of Ireland""","Blaggers ITA","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"612","2012","""Get Your Dead Hand Off My Shoulder""","Therapy?","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"613","1972","""Give Ireland Back to the Irish""","Paul McCartney and Wings","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"614","1998","""Heal This Land""","Maire Brennan","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"615","1990","""Holy Wars...The Punishment Due""","Megadeth","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"616","1976","""If They Come in the Morning"" aka ""No Time for Love""","Jack Warshaw","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"617","1979","""Into the Valley""","The Skids","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"618","1981","""Invisible Sun""","The Police","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"619","1985","""The Island""","Paul Brady","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"620","1996","""Minds Locked Shut""","Christy Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"621","1982","""The More I See (The Less I Believe)""","Fun Boy Three","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"622","1984","""My Youngest Son Came Home Today""","Mary Black","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"623","1979","""No More of That""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"624","1979","""Oliver's Army""","Elvis Costello and the Attractions","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"625","1985","""Out in the Fields""","Gary Moore and Phil Lynott","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"626","1999","""Paper Sun""","Def Leppard","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"627","2000","""Peace on Earth""","U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"628","1997","""Please""","U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"629","2014","""Raised by Wolves""","U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"630","1978","""The Saints Are Coming""","The Skids","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"631","1987","""Scaling The Derry Wall""","The Exploited","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"632","1983","""Section 31""","Christy Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"633","1975","""Sniper's Promise""","Joe McCann","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"634","1972","""Soldier""","Harvey Andrews","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"635","1979","""State of Emergency""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"636","1988","""Streets of Sorrow/Birmingham Six""","The Pogues","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"637","1972","""Sunday Bloody Sunday""","John Lennon and Yoko Ono","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"638","1983","""Sunday Bloody Sunday""","U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"639","1998","""Sunrise""","The Divine Comedy","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"640","1992","""Ten Men Dead""","Blaggers ITA","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"641","1985","""There Were Roses""","Tommy Sands","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"642","1997","""This is Not Your Country""","Morrissey","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"643","1986","""Through the Barricades""","Spandau Ballet","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"644","1973","""The Town I Loved So Well""","Phil Coulter","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"645","2014","""The Troubles""","U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"646","1981","""Troops Out""","The Passage","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"647","1977","""Ulster""","Sham 69","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"648","1978","""Wasted Life""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"649","1979","""White Noise""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"650","1987","""Wild Frontier""","Gary Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"651","1994","""Zombie""","The Cranberries","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"652","1968","""1983... (A Merman I Should Turn to Be)""","The Jimi Hendrix Experience","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"653","1982","""1999""","Prince","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"654","1984","""2 Minutes to Midnight""","Iron Maiden","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"655","2007","""4 Minute Warning""","Radiohead","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"656","1967","""20 Tons of TNT""","Flanders and Swann","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"657","1983","""99 Luftballons"" and ""99 Red Balloons""","Nena","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"658","1961","""A Mushroom Cloud""","Sammy Salvo","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"659","1962","""A Hard Rain's A-gonna Fall""","Bob Dylan","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"660","1985","""America""","Prince","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"661","1979","""Armageddon""","Prism","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"662","1978","""Atomic Bomb""","William Onyeabor","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"663","1992","""Atomic Garden""","Bad Religion","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"664","1983","""Balls to the Wall""","Accept","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"665","1988","""Battalions of Fear""","Blind Guardian","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"666","1981","""Battalions of Strangers""","Fischer Z","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"667","1984","""Be Not Always""","The Jacksons","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"668","1984","""Beyond the Black""","Metal Church","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"669","2007","""Big Joe Blues""","Pete Seeger","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"670","1985","""Black Planet""","The Sisters of Mercy","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"671","1988","""Blackened""","Metallica","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"672","1992","""Born to End""","Manic Street Preachers","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"673","1980","""Breathing""","Kate Bush","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"674","2006","""Brighter than a Thousand Suns""","Iron Maiden","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"675","2010","""Burning in the Skies""","Linkin Park","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"676","1971","""Children of the Grave""","Black Sabbath","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"677","1986","""Christmas at Ground Zero""","""Weird Al"" Yankovic","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"678","2000","""Cold War""","Funker Vogt","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"679","1963","""Come Away Melinda""","Harry Belafonte","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"680","1980","""Crazy Train""","Ozzy Osbourne","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"681","1981","""Cruise Missiles""","Fischer Z","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"682","1978","""Curfew""","The Stranglers","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"683","1984","""Dancing with Tears in My Eyes""","Ultravox","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"684","1981","""Fire in the Sky""","Saxon","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"685","1999","""Destruction Preventer""","Sonata Arctica","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"686","1961","""Do the Russians Want War?""","Mark Bernes","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"687","2008","""Down from the Sky""","Trivium","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"688","1981","""Dumb All Over""","Frank Zappa","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"689","1988","""Eagle Fly Free""","Helloween","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"690","1983","""East at Easter""","Simple Minds","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"691","1982","""Ein bißchen Frieden""","Nicole Seibert","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"692","1970","""Electric Funeral""","Black Sabbath","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"693","1969","""Epitaph""","King Crimson","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"694","1965","""Eve of Destruction""","P.F. Sloan (also recorded by Barry McGuire and The Turtles)","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"695","1985","""Everybody Wants to Rule the World""","Tears For Fears","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"696","1988","""Fallout""","Liege Lord","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"697","1980","""Final Day""","Young Marble Giants","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"698","1984","""Forever Young""","Alphaville","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"699","2005","""Fuel the Hate""","Soulfly","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"700","1974","""Future Legend""/""Diamond Dogs""","David Bowie","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"701","1980","""Going Underground""","The Jam","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"702","1984","""Hammer to Fall""","Queen","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"703","1982","""Heatwave""","Fay Ray","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"704","1971","""Hiroshima""","Wishful Thinking","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"705","1966","""I Come and Stand at Every Door"" (based on a poem by Nazım Hikmet)","Pete Seeger","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"706","1981","""It Only Takes Two to Tango""","The Stranglers","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"707","1983","""It's a Mistake""","Men at Work","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"708","1982","""I've Known No War""","The Who","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"709","1983","""I Won't Let The Sun Go Down On Me""","Nik Kershaw","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"710","1986","""John Wayne""","Zuma II","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"711","1986","""Killer of Giants""","Ozzy Osbourne","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"712","1988","""Killing Fields""","Scanner","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"713","1973","""Kuiama""","Electric Light Orchestra","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"714","1986","""Land of Confusion""","Genesis","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"715","1989","""Leningrad""","Billy Joel","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"716","1986","""Let Us Begin""","John Denver with Alexander Gradsky","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"717","1981","""Let's All Make a Bomb""","Heaven 17","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"718","1981","""Mutually Assured Destruction""","Gillan","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"719","1983","""Moya""","Southern Death Cult","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"720","1985","""Manhattan Project""","Rush","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"721","1984","""Minutes to Midnight""","Midnight Oil","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"722","1965","""MLF Lullaby""","Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"723","1964","""My Radiation Baby (My Teenage Fallout Queen)""","George McKelvey","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"724","1983","""New Year's Day""","U2","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"725","2007","""No One Would Riot For Less""","Bright Eyes","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"726","1987","""No Nuclear War""","Peter Tosh","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"727","2000","""Nuclear Winter""","Funker Vogt","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"728","2011","""Paint Your Windows White""","Alien Stash Tin","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"729","1988","""Part IV (The Index Fossil)""","Bad Religion","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"730","1984","""People are People""","Depeche Mode","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"731","1988","""Pre-War America""","The Beatnigs","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"732","1987","""Protect and Survive""","The Dubliners","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"733","1987","""Radio K.A.O.S.""","Roger Waters","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"734","1982","""Red Skies""","The Fixx","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"735","1981","""Red Skies over Paradise""","Fischer Z","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"736","1984","""Fight Fire with Fire""","Metallica","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"737","1990","""Right Here, Right Now""","Jesus Jones","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"738","1983","""Rival Leaders""","The Exploited","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"739","2009","""Ruination""","Job for a Cowboy","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"740","1985","""Russians""","Sting","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"741","1990","""Rust in Peace... Polaris""","Megadeth","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"742","1983","""Seconds""","U2","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"743","1988","""Set the World Afire""","Megadeth","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"744","1980","""Seven Minutes to Midnight""","Wah! Heat","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"745","1987","""Showdown at Big Sky""","Robbie Robertson","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"746","1990","""Skeletons of Society""","Slayer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"747","1965","""So Long, Mom (A Song for World War III)""","Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"748","1983","""Standing in the Dark""","Patinum Blonde","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"749","1983","""Strike Zone""","Loverboy","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"750","1980","""Stop the World""","The Clash","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"751","1988","""Surfin' USSR""","Ray Stevens","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"752","1986","""Survival of the Fittest""","Slave Raider","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"753","1986","""Воля и Разум"" (""Will and Reason"")","Aria","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"754","1957","""Talking Atom""","Oscar Brand","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"755","1986","""Thank God For the Bomb""","Ozzy Osbourne","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"756","1979","""They've Got a Bomb""","Crass","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"757","1991","""The American""","Simple Minds","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"758","1986","""The Future's So Bright, I Gotta Wear Shades""","Timbuk3","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"759","1963","""The Sun is Burning""","Ian Campbell Folk Group (also covered by Luke Kelly and Simon and Garfunkel)","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"760","1954","""Thirteen Women and Only One Man in Town""","Bill Haley and the Comets","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"761","1983","""Time After Time""","Electric Light Orchestra","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"762","1983","""Two Suns in the Sunset""","Pink Floyd","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"763","1984","""Two Tribes""","Frankie Goes To Hollywood","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"764","1981","""Under Pressure""","Queen ft. David Bowie","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"765","1982","""US Forces""","Midnight Oil","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"766","1983","""Vamos a la playa""","Righeira","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"767","1962","""(Walk Me Out in the) Morning Dew""","Bonnie Dobson","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"768","1985","""Warnings Moving Clockwise""","Do-Re-Mi","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"769","1987","""Wartime""","Pentagram","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"770","1959","""We Will All Go Together""","Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"771","1981","""When Two Worlds Collide""","Simple Minds","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"772","1965","""Who's Next?""","Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"773","1982","""Why Did I Fall For That?""","The Who","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"774","1990","""Wind of Change""","Scorpions","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"775","1988","""World Leader Pretend""","R.E.M.","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"776","1982","""America""","Au Pairs","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000
"777","1990","""The Ballad of Robbie Jones""","Levellers","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"778","1985","""Brothers in Arms""","Dire Straits","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"779","1983","""Get Your Filthy Hands off My Desert""","Pink Floyd","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
